No,Review
1,Daftar akun aja sulitnya minta ampun
2,Aplikasi nya kurang jossss Pas verifikasi nomer hp lama muncul kodenya Buat emosi??????????????
3,"Kenapa berat banget aplikasinya, kurang responsif ketika memilih item"
4,Aku gak ngerti kok uinstal terus sih
5,Buruk sekali hari hari ini kok bermasalah mulu
6,"males ga bisa masuk server eror ,beralih deh ke lazada ..."
7,Tolong kembalikan pilihan jasa kirim seperti dulu..
8,Pas chekout sering gagal
9,sudah di update tapi fitur fontnya tetep ga berubah
10,"Bintang yang bicara....... Verikasi nomer tlp tak bisa,rugi data"
11,Belanja di sini bisa bayar di tempat kah ? Soal nya saya masih sekolah SMP gk pandai tranper uang
12,"Saya ada masalah tapi cs tidak bisa menjawab pertanyaan saya terkait dengan masalah saya, pokoknya jelek banget cs nya"
13,"Ga bisa klaim gratis ongkir, tolong dong d perbaiki usaha sy jadi macet"
14,Payah kali loginnya Kenapa ni?
15,Kenapa toko nya tanda seru semua cok?
16,Aku suka aplikasi ini tapi ya.. kenapa waktu aku mau verifikasi no telp.ku kok gk ada sms dari sophee jadi sebbel deh??
17,gk bisa di update
18,Ada thr nya gak jawab cepet kalo ada saya instal
19,mengapa saya tidak dapat menggunakan voucher gratis ongkir sekaligus dengan cashback? setiap ingin menggunakan gratis ongkir sekaligus cashback yang terpilih hanya salah tau doang tidak bisa di klik bersamaan.
20,"Barang sudah diterima,tapi aplikasinya menunjukan barang sedang dikirim???????????????gimna coba bikin pusing aja.Ribet banget kya nya . Tolong diperbaiki lagii kedepanya??????"
21,"Kecewa BANGET sama aplikasi ini kenapa pengembalian seribet itu sudah jelas"" penjual salah kirim barang MOHON SEGERA DI PERBAIKI BIKIN RUGI ORANG AJA"
22,Aplikasinya lemot banget padahal sinyal full
23,Ka aku udh 2x nge instal ini kenapaa aplikasi nya ga muncul d hp sayah padahal sayah brulang kali nge instal ke aplikasi baru
24,"Barang lama banget sampe nya,keburu berubah pikiran pengen beli yang laen,udh gitu ongkir nya gila 30ribu hh"
25,Kmrn seneng liat aplikasi ini sekarang sudah di update malah tambah gak keluar gambarnya jadi gk semangat
26,Katanya Gratis ongkir huh ternyata nggak
27,Saya paham situasi lagi begini tapi tolong lah jasa pengirim jangan kaya asu ! Saya juga mencari nafkah Biayanya itu loh sampe melebihi barang yang mau kita beli ..sudah mengalami keterlambatan 1-2 hari.. Jadi tolong lah saya juga reseller
28,"kenapaa ko sekarang pilih pengirimny ng banyak, j&t expres atau yang lainy ko nga add"
29,"Kalo ada bintang NOL saya kasih bintang nol kamu pi...... kecewa dengan sistem sekarang ga bisa pilih kurir,,, Kurir yang biasa datang kerumah saya maanaaaaaa ?????? alhasil pakait ga sampai,, sklipun sampai kurir lu jutex jutex kage ada senyum senyumnya... belanja di elu sekarang jadi nyaman ga tenang , takut pakaitnya ga sampai..... seblum lu rubah lagi sistemnya.. mnding pindah ke sebelah dulu deh...bye pee"
30,Ini kok gak bisa login ya udh daftar ulng jg gak bisa
31,ANDA HANYA BISA NGE-SCAM (MENIPU) BOTTSSSSS
32,Aplikasi terburuk yang saya pernah temuin sudah antar nya telat juga kali
33,"Spam melulu di online Internet, nganggu aja klau mauain internetan, enggak punya modal ya buat iklan di tv"
34,Ini kenapa ya kok GK bisa masuk...tiap kali masuk langsung keluar sendiri ....
35,"Kok setiap mau bayar ga bisa ya, sudah update sama install ulang juga padahal"
36,Gak bisa login keterangan jaringan bermasalah
37,Lelet sekali
38,Iklan nya mengangu aku waktu main game!!!!
39,Tampilan hasil mesin pencari sering eror'
40,"Terlalu banyak potongan bagi penjual & kalau mau beli gak ada gratis ongkir nya,Ada gratis ongkir tapi ribet,padahal promosi nya aja bagus"" tapi gak sesuai kenyataan,payah??????"
41,Untuk sementara sy ksih Bintang 1 dlu yaa. Lihat kedepan amanah atau tidak. Soal bintang mah gampang. Lihat kinerja selanjutnya kedepan
42,maaf dari ????? jadi ?Sekarang kok gini y ongkir pilih belakangan ubah ongkir. . sudah cek out bayar baru ketauan bisa rubah ongkir. Dimana2 y milih ongkir dulu laahh.. anehh. Yang tau exp mana yang baik dan cepatt itu y cuma pelanggan. Jadi biarkan sya memilih sendiri exp apa..
43,Barang katanya free ongkir padahal udh pakai voucher.pas di checout memang Free .eh giliran checout ke 2 mlh trnyata ongkir .ongkirnya mahal pula udh terlanjur ngumpulin barang mau dipesen ternyata ongkir.kecewa banget.
44,Kapan dong kirim nya lama banget sih
45,Kok saya ga bisa ngorder barang?
46,"Lu itu cuman aplikasi belanja ,msak kudu btuh sinyal kuat buat lancar loading ny Dkit2 psti update"
47,Mana gratis ongkir yang dulu?
48,"voucher tanam dan beli,itu usaha kami pke kouta dan beli bukan ngratis,terus di bilang curang mna ke adilany"
49,merasa tertipu dengan voucher cashback pas di pakai gak ada cashback koin yang masuk maaf males pakai lagi
50,"Mau di update terus""an gagal terus, sinyal udh bagus memori juga sudah cukup"
51,Parah bnget ga bisa kebuka semua fto2 dagangan nya jadi lemot kalau bisa perbaiki aplikasi nya jangan kaya gini
52,"Saya kasi bintang satu, setiap saya mau belanja online lewat cod, gk pernah direspon padahal dari pihak tokonya sudah menyetujuinya"
53,Saya harap pesanan saya sampe disaat aplikasi ini sedang eror2 nya
54,"Kesel deh makin kesini free ongkirnya cuma PHP padahal anggota sudah platinum jg sudah ngikutin S&K,,,apl nya minta di update mulu"
55,Aplikasinya berat bikin lemot hp. Gk seperti olshop yang lain.
56,Lama bangat ngunduh aplikasi ini
57,Gak bisa klaim voucher? Gini katanya mempermudah?. OI BANGON sudah DHUHUR
58,Jelek jangan download
59,kenapa di instal gk bisa
60,Tolong Nih di amged lagi dog
61,Ongkir gratis ga jelas. Terus masa ongkir gratis saya harus nombok 58rb sudah cancel aja penjualan saya drpd nombok
62,Tolong mengunduhnyah jangan lama banget
63,"Barang nya dateng , terus kena tipu ???? sudah beli mahal mahal datang nya kena tipu ????????"
64,"admin ini kok dari tdi gak ke instal yah dari tdi kaya ke stak gitu terus juga gak jln jln loh % nya, tolong yah di prebaikin"
65,"Transaksi bayar tagihan PLN lama banget prosesnya, bayar jam 3 sore ampe jam 8 mlm belum juga diproses. Padahal sudah dibayar, keburu mati lampu dirumah. Payah... Pengajuan pengembalian dana balik pun gak ada faedahnya, pdhal saya suka blnja di aplikasi ini. Alamat UNINSTALL kalau kyak gni terus"
66,"Jijik,,dah dimasukin kode buat login malah kode salah mulu.gk jelas banget si"
67,Iklan nya jangan muncul dmn mana di web ada di aplikasi ada di game ada gw jadi pusing
68,aplikasi nya jlek nggak kaya dulu bagus
69,sumpah kesel banged.sudah cape di instal ulang tapi tetap saja masih lemot. putih polos kalo mau cekout..
70,Jasa kirim dikekang.... ??????
71,"Ini kenapa ya ga bisa log in ? Katanya ""tidak ada koneksi internet"" padahal kan sinyal full banget. Log in pakai website bisa sedangkan pakai aplikasinya malah ga bisa ! Mohon banget di benahi"
72,.r juga itulah mengapa hsgi
73,Pengirimannya mahal sekarang gak kayak dulu percuma vouchernya gak bisa membantu..
74,Jelek'banget asli aplikasi nya
75,Pengembalian dana katanya maksimal 1×24 jam ternyata bohong ! sudah hampir 3 hari dana nggak di kirim-kirim !
76,"gak jelas banget tidak bisa pilih jasa kirim langsung, jadi dapatnya acak aneh lah gk suka yang sekarang makin ribet. Balikin ky dulu lagi laaah"
77,Ga bisa pilih jasa pengiriman jnt/sicepat/dkk sekarang. Impactnya jadi lama pengirimannya
78,"Kadang suka eror, bisa di buka ya malam doang"
79,"Aplikasi ga ada akhlak...ga bisa kebuka !!! Sinyal gw bagus tapi kenapa loading terus, waktu baru isi kuota, ttapi aja ga bisa..ni Server gimana Sih..sama aja kyk aplikasi sebelah.."
80,Makin berat aja ya
81,Gk bs di instal mau nangis sumpa
82,Pembayaran pending udh 3 hari .
83,"Sekarang dikit"" perbarui,kalau gak perbarui gk loeding"""
84,"Maaf ya jadi bintang 1, pengiriman jadi lelet"
85,Kenapa sekarang ga bisa top up free fire padahal sekarang banyak event seru pas mau top up lah ko ilang voucher games nya terus saya harus top up dimana?coba adain lagi dong
86,"Setelah di update ngga ada gambar produknya, gabisa dibeli juga gtau dah;("
87,downloadnya lama banget sih ??
88,sudah klaim voucher tapi gak muncul muncul. sudah sesuai S&K terus sesuai kategori toko juga. Ttapi gakbisa ???????
89,Free ongkir ya ga ada lagi bagaimana ini minnnnn
90,Masalah mulu...mau live ada aja gangguannya
91,Auto Delete kalo Secret number kalah Vote. Dalam 1 menit +30 RB voted untuk SK . Maklum sih masih jadi Brand ambasador nya. Wkwkwk LOL (the power of orang dalam). Mending pakai market place lain aja LOL
92,Iklan kepanjangan di aplikasi lain
93,1. Lemot 2. Voucher free ongkir tipu2 pas di cek harus pakai sapipay 3. Koin berkurang 4. Aplikasi Pelit
94,Jelek aplikasi nya
95,Kebanyakan iklan
96,Kenapa erorr si ? Pesanan saya gimana .
97,Kaya da ad dosa sudah mau terinstall malah teulang haduh payah kau
98,Bukannya makin bagus malah makin jelek aplikasinya keluar sendiri Terus
99,"belanja hemat, mantap, untuk versi yang sebelum nya ya.. karenaa yang sekarang gan bisa pilih kurir lagi, jadi sy turunkan rating nya... padahal sy sudah gold member, next belanja di bukalapak dan tokopedia aja lah.. gak suka versi yang aneh2 kaya gini... Saran ya kalau kalian ga mau ditinggal oleh pemakai se...Ulasan Lengkap"
100,Asli ongkirnya gede banget
101,Habis di afgred lemott banget
102,Tidak mendukung seluruh wilayah Indonesia mengecewakan sekali
103,Kok mau verivikasi no hp gk bisa2
104,Seller distrobdg. Penipu. Saya pesen 2 pcs dteng 1pcs!!!!
105,Aplikasinya makin gajelas
106,Ini kalau dongkalaut kok lama
107,"Skarenag ga da bebas ongkir, jangan d download."
